amp_fraction	amp_consistency	period_consistency	monotonicity	period	time_peak	time_trough	volt_peak	volt_trough	time_decay	time_rise	volt_decay	volt_rise	volt_amp	time_rdsym	time_ptsym	band_amp	sample_peak	sample_last_zerox_decay	sample_zerox_decay	sample_zerox_rise	sample_last_trough	sample_next_trough	is_burst	time	group
0.8142628671125327	0.35977323426598445	0.4031413612565445	1.0	191	117	59	1.4233236027130105	-0.28712924803795215	132	59	2.6934331089824735	1.7104528507509627	2.2019429798667183	0.3089005235602094	0.6647727272727273	0.6937507304927011	5630	5540	5716	5599	5571	5762	False	Post	Bystander
0.05612096539691771	0.00416072523207894	0.4031413612565445	0.8333333333333333	77	47	72	-0.30108436537175287	-1.2701095062694632	30	47	0.00823169264836382	0.9690251408977103	0.48862841677303703	0.6103896103896104	0.3949579831932773	0.3618263450122861	5809	5716	5835	5788	5762	5839	False	Post	Bystander
0.8490840360569933	0.00416072523207894	0.43258426966292135	1.0	178	79	38	1.6691113048102784	-0.3093160580201167	113	65	2.695325277510026	1.978427362830395	2.3368763201702105	0.3651685393258427	0.6752136752136753	0.7710437762834654	5904	5835	5952	5873	5839	6017	False	Post	Bystander
0.8743093922651933	0.0	0.4578313253012048	1.0	166	64	134	1.8210142877521889	-1.0262139726997475	60	106	2.0750086318017917	2.8472282604519363	2.4611184461268643	0.6385542168674698	0.32323232323232326	0.9337693059072399	6123	5952	6150	6086	6017	6183	False	Post	Bystander
0.12082000581564409	0.0	0.4578313253012048	0.8200000000000001	76	34	46	-0.26322451147688974	-0.25399434404960297	51	25	1.3393895377951015	-0.009230167427286773	0.6650796851839074	0.32894736842105265	0.425	0.5126217537973123	6208	6150	6230	6196	6183	6259	False	Post	Bystander
0.7256469904041872	0.12007581414661822	0.5467625899280576	1.0	139	65	76	1.5754399826362833	-1.6026140492719911	49	90	0.6462895964969081	3.1780540319082746	1.9121718142025914	0.6474820143884892	0.46099290780141844	0.8053421777227542	6349	6230	6371	6306	6259	6398	False	Post	Bystander
0.5944315207909276	0.025107007713145942	0.8322981366459627	1.0	134	86	39	1.0067541356132308	0.9291503861393752	107	27	3.0909198882040636	0.07760374947385562	1.5842618188389597	0.20149253731343283	0.688	0.6629367062224595	6425	6371	6496	6410	6398	6532	False	Post	Bystander
0.8326548415236987	0.7832622996095713	0.8298969072164949	1.0	161	71	65	0.33683526695284116	-2.084165752590833	99	62	2.120359975254042	2.4210010195436737	2.2706804973988577	0.38509316770186336	0.5220588235294118	1.1496054013681236	6594	6496	6632	6561	6532	6693	False	Post	Bystander
0.6852282640302414	0.4492826258214692	0.8298969072164949	1.0	194	74	118	0.7021737405163151	-1.783524708301201	100	94	1.1167811260850864	2.485698448817516	1.801239787451301	0.4845360824742268	0.3854166666666667	0.7708487395946297	6787	6632	6824	6750	6693	6887	False	Post	Bystander
0.39037510904332656	0.06868012909898896	0.36666666666666664	1.0	210	92	92	0.8000894789386414	-0.4146073855687713	150	60	1.1402441236220697	1.2146968645074128	1.1774704940647411	0.2857142857142857	0.5	0.29679083148383834	6947	6824	7008	6916	6887	7097	False	Post	Bystander
0.00043617330619366096	0.012444840561664375	0.36666666666666664	0.6487127371273713	77	37	123	-0.2618425310687011	-0.3401546446834284	36	41	0.02156300787504123	0.07831211361472729	0.04993756074488426	0.5324675324675324	0.23125	0.17163031601346185	7138	7008	7168	7131	7097	7174	False	Post	Bystander
0.6781041000290782	0.012444840561664375	0.3888888888888889	1.0	198	118	47	1.449281012418342	-0.2834055389437423	101	97	1.8279103396391185	1.7326865513620842	1.7802984455006015	0.4898989898989899	0.7151515151515152	0.4765964950347065	7271	7168	7333	7215	7174	7372	False	Post	Bystander
0.04100029078220413	0.16032084670133273	0.39705882352941174	1.0	81	42	57	-0.0855771938757123	-0.3786293272207765	44	37	0.5530440942670521	0.2930521333450642	0.42304811380605817	0.4567901234567901	0.42424242424242425	0.25386371924220713	7409	7333	7432	7390	7372	7453	False	Post	Bystander
0.6160947949985461	0.354465693415949	0.39705882352941174	1.0	204	103	53	0.9215976682742126	-0.6386212881427644	136	68	1.7028878906356795	1.560218956416977	1.6315534235263283	0.3333333333333333	0.6602564102564102	0.5636645880465778	7521	7432	7588	7485	7453	7657	True	Post	Bystander
0.575894155277697	0.8340807811118444	0.7873303167420814	1.0	221	118	107	0.6390558396058416	-0.781290222361467	149	72	1.6603038142958888	1.4203460619673085	1.5403249381315987	0.3257918552036199	0.5244444444444445	0.5196770235621737	7729	7588	7813	7695	7657	7878	True	Post	Bystander
0.5397644664146555	0.8299268565797597	0.7873303167420814	0.9575471698113207	174	110	100	0.5739774559701778	-1.0212479746900471	106	68	1.323920427203934	1.595225430660225	1.4595729289320793	0.39080459770114945	0.5238095238095238	0.6191649534068666	7946	7813	8023	7913	7878	8052	True	Post	Bystander
0.4286129688863042	0.0	0.48226950354609927	1.0	141	62	55	0.636473883505822	-0.7499429712337562	86	55	1.1095871091324072	1.3864168547395783	1.2480019819359929	0.3900709219858156	0.5299145299145299	0.550703807608723	8107	8023	8140	8078	8052	8193	False	Post	Bystander
0.009886594940389648	0.0	0.41975308641975306	0.5	68	44	54	-0.4768795022414619	-0.47311322562658525	67	1	0.4630851154417682	-0.0037662766148766624	0.22965941941344578	0.014705882352941176	0.4489795918367347	0.3680938873285597	8194	8140	8238	8194	8193	8261	False	Post	Bystander
0.6457545798197151	0.26053583246544765	0.41975308641975306	1.0	162	99	56	0.8374688779691684	-0.9399646176832301	91	71	1.624137582804039	1.7774334956523985	1.7007855392282187	0.4382716049382716	0.6387096774193548	0.7715711174039276	8332	8238	8393	8294	8261	8423	True	Post	Bystander
0.660729863332364	0.3691906499315663	0.5151515151515151	1.0	165	97	57	0.8578582699435127	-0.7866687048348706	109	56	1.828342632165441	1.6445269747783833	1.7364348034719121	0.3393939393939394	0.6298701298701299	0.6307749463299999	8479	8393	8547	8450	8423	8588	True	Post	Bystander
0.10628089560918871	0.28354714701465206	0.48295454545454547	1.0	85	42	63	-0.2954773575551786	-0.9704843622219285	41	44	0.5877951639223917	0.6750070046667498	0.6314010842945708	0.5176470588235295	0.4	0.29624617475706827	8632	8547	8652	8610	8588	8673	True	Post	Bystander
0.7315353300378017	0.28354714701465206	0.48295454545454547	1.0	176	106	53	1.1897342786649752	-0.8832725214775704	106	70	1.785538513727063	2.0730068001425455	1.9292726569348042	0.3977272727272727	0.6666666666666666	0.7192998276883219	8743	8652	8811	8705	8673	8849	True	Post	Bystander
0.49345740040709507	0.5816999381102026	0.7215909090909091	1.0	127	65	70	1.1342244014083358	-0.5958042350620879	59	68	1.0063575507637237	1.7300286364704238	1.3681930936170739	0.5354330708661418	0.48148148148148145	0.7441866937527756	8917	8811	8946	8881	8849	8976	True	Post	Bystander
0.5963216051177668	0.006715533701983012	0.935251798561151	1.0	130	60	58	1.2102630742666634	0.1278668506446122	75	55	2.094204289356421	1.0823962236220512	1.5883002564892361	0.4230769230769231	0.5084745762711864	0.5820494901130563	9031	8946	9064	9004	8976	9106	False	Post	Bystander
0.05699331200930503	0.006715533701983012	0.935251798561151	0.7888138862102217	139	108	48	-0.8698775156057472	-0.8839412150897576	122	17	0.9686698552030979	0.014063699484010428	0.49136677734355416	0.1223021582733813	0.6923076923076923	0.37749901436776917	9123	9064	9220	9112	9106	9245	False	Post	Bystander
0.9927304448967723	0.22740399864486172	0.9281045751633987	1.0	142	68	61	2.421139622276425	-1.8385473708088451	72	70	3.841011010626659	4.25968699308527	4.050349001855965	0.49295774647887325	0.5271317829457365	1.8826645474924857	9315	9220	9349	9281	9245	9387	True	Post	Bystander
0.8250218086653097	0.3967950839201779	0.6013071895424836	1.0	153	83	72	1.3357791274802109	-1.4198713883502339	78	75	1.72093082004938	2.7556505158304447	2.2382906679399124	0.49019607843137253	0.535483870967742	1.06600860834905	9462	9349	9504	9421	9387	9540	True	Post	Bystander
0.32923815062518175	0.3967950839201779	0.5935483870967742	1.0	92	45	56	0.29770519659314526	-0.38515169256916915	52	40	1.4488199931606083	0.6828568891623144	1.0658384411614614	0.43478260869565216	0.44554455445544555	0.40511750139717506	9580	9504	9605	9560	9540	9632	True	Post	Bystander
0.9287583599883688	0.5634836592617263	0.5935483870967742	1.0	155	57	99	1.4200688914543784	-1.151114796567463	52	103	3.0446556477412496	2.5711836880218417	2.8079196678815457	0.6645161290322581	0.36538461538461536	1.044533250880782	9735	9605	9761	9704	9632	9787	True	Post	Bystander
0.7982698458854318	0.7775198941913585	0.6	1.0	93	47	48	0.7426935807940276	-1.624586756286871	46	47	1.919447201518571	2.3672803370808984	2.143363769299735	0.5053763440860215	0.49473684210526314	0.9856699414212075	9834	9761	9856	9809	9787	9880	True	Post	Bystander
0.4574004070950858	0.3658839575556891	0.7870370370370371	1.0	85	43	46	0.46674424012163235	-1.1767536207245435	38	47	0.9639493402501212	1.6434978608461759	1.3037236005481485	0.5529411764705883	0.48314606741573035	0.5723346889293811	9927	9856	9945	9902	9880	9965	True	Post	Bystander
