time_rdsym	time_ptsym	period	time_trough	time_rise	time_decay	time_peak	time	group	experiment	mouse_id
0.4094488188976378	0.5882352941176471	127	49	52	75	70	2	2	2	1
0.5688073394495413	0.452991452991453	109	64	62	47	53	2	2	2	1
0.46464646464646464	0.5157894736842106	99	46	46	53	49	2	2	2	1
0.4368932038834951	0.5048543689320388	103	51	45	58	52	2	2	2	1
0.5111111111111111	0.5176470588235295	90	41	46	44	44	2	2	2	1
0.48863636363636365	0.5116279069767442	88	42	43	45	44	2	2	2	1
0.38513513513513514	0.5625	148	49	57	91	63	2	2	2	1
0.53125	0.26356589147286824	96	95	51	45	34	2	2	2	1
0.5818181818181818	0.4594594594594595	110	60	64	46	51	2	2	2	1
0.4823529411764706	0.5	85	45	41	44	45	2	2	2	1
0.5104166666666666	0.5053763440860215	96	46	49	47	47	2	2	2	1
0.47619047619047616	0.4880952380952381	84	43	40	44	41	2	2	2	1
